Gene,Pearson_Corr_Size,P_Value_Size,BH_Corrected_P_Value_Size,Pearson_Corr_KRN,P_Value_KRN,BH_Corrected_P_Value_KRN
GRMZM2G141636,-0.16182231672711583,0.44998278929566476,0.9984265756175531,0.035569586950156,0.8689407762233808,0.9987071952047535
CNR13,-0.09942010807077235,0.6439348791894772,0.9984265756175531,0.05257416413765697,0.8072473397022853,0.9987071952047535
GRMZM2G000749,0.21033550333902887,0.3238802830009544,0.9984265756175531,-0.08459040042324109,0.6943270681416268,0.9987071952047535
GRMZM2G300801,0.16520303911110792,0.44044319022332984,0.9984265756175531,0.2611716441807572,0.21768602914759055,0.9987071952047535
GRMZM2G076062,-0.12793189589199616,0.551352508496831,0.9984265756175531,0.054027455541200066,0.8020208012848937,0.9987071952047535
GRMZM2G472266,0.1507473224431332,0.481982298613958,0.9984265756175531,0.2654833870909612,0.20990965232954975,0.9987071952047535
GRMZM2G453111,0.16819939924303928,0.4320791848901556,0.9984265756175531,0.2991477026813464,0.15559453186623382,0.9987071952047535
GRMZM2G166445,-0.15293939874552046,0.4755588615990447,0.9984265756175531,-0.16174831999547892,0.4501928002471683,0.9987071952047535
GRMZM2G165998,-0.1520326650505742,0.4782105522922629,0.9984265756175531,-0.05540910345060591,0.7970595412778512,0.9987071952047535
GRMZM2G056231,-0.17305160043426998,0.4187181751784273,0.9984265756175531,-0.3789279984007804,0.0678435023222459,0.9987071952047535
GRMZM2G136081,-0.04494345951690403,0.8348165961876933,0.9984265756175531,-0.22100063474287127,0.2993711508729445,0.9987071952047535
GRMZM2G172448,0.1547992605802587,0.4701433615300172,0.9984265756175531,0.07954363719595076,0.7117802276547002,0.9987071952047535
GRMZM2G172322,0.34969949185083293,0.09391823638641889,0.9984265756175531,0.2698383553594199,0.2022473541840834,0.9987071952047535
GRMZM2G377311,0.061612457697035675,0.7748807550754971,0.9984265756175531,-0.1705153711170463,0.42567350861534586,0.9987071952047535
GRMZM2G169320,-0.0713937225702918,0.7402604426567904,0.9984265756175531,-0.28593538977282723,0.17557927589511907,0.9987071952047535
GRMZM2G470438,-0.054690176813524824,0.7996401443778977,0.9984265756175531,0.34964461681812153,0.09397334245787523,0.9987071952047535
GRMZM2G417455,0.2830371417378493,0.18019064421832823,0.9984265756175531,0.2786234282576191,0.18737281941722475,0.9987071952047535
GRMZM2G314133,0.2766471020677029,0.19065159427103967,0.9984265756175531,0.09070504353008639,0.6733818222273346,0.9987071952047535
GRMZM5G850455,-0.38202818278203476,0.06544204063002021,0.9984265756175531,-0.2664445832341951,0.2082019299076833,0.9987071952047535
RPS28,0.053002561062103604,0.8057058336950698,0.9984265756175531,-0.17591424025863503,0.4109429854109527,0.9987071952047535
GRMZM2G115131,-0.39390196545742706,0.05684228843815805,0.9984265756175531,-0.4457554103079166,0.02902807888258361,0.9987071952047535
GRMZM2G091916,0.1592957058081582,0.4571827322187333,0.9984265756175531,-0.0672532631216115,0.7548599893453118,0.9987071952047535
GRMZM2G091921,0.16992299148500073,0.42730702700583595,0.9984265756175531,-0.12972557062459394,0.545738451954671,0.9987071952047535
GRMZM2G026807,-0.13648129269809564,0.5248336172936157,0.9984265756175531,0.039479909065410934,0.8546746708857557,0.9987071952047535
GRMZM5G857303,0.023678805386735682,0.9125486506031515,0.9984265756175531,-0.1597082402958897,0.4560030635010629,0.9987071952047535
GRMZM2G162725,0.025110324731870637,0.9072832770641999,0.9984265756175531,0.0950724842464131,0.6585633253577761,0.9987071952047535
GRMZM2G162776,-0.07807723548620342,0.7168783667264568,0.9984265756175531,-0.23438654713230897,0.2702866843156938,0.9987071952047535
GRMZM2G162814,-0.04374380073256603,0.83916897791386,0.9984265756175531,-0.217165405771542,0.30804856242168566,0.9987071952047535
GRMZM2G124353,0.0852022062544176,0.6922212696164348,0.9984265756175531,0.24887236104183505,0.24091662488557972,0.9987071952047535
GRMZM2G142557,0.005464668700480069,0.9797819837610721,0.9984265756175531,0.18048792589399015,0.39868749026875616,0.9987071952047535
GRMZM2G142609,-0.3640374243578142,0.08032826031497178,0.9984265756175531,-0.4671703692382373,0.0213543908702186,0.9987071952047535
GRMZM2G119852,0.2290552567581623,0.2816463040575035,0.9984265756175531,-0.23004855226448548,0.27950736243503815,0.9987071952047535
GRMZM2G419938,0.25225749368201317,0.23436729123553027,0.9984265756175531,0.5911417782672644,0.0023501081691036096,0.9791568757839255
GRMZM2G000686,0.15241517510579636,0.4770910081700767,0.9984265756175531,0.470855158607702,0.020217410971770287,0.9987071952047535
GRMZM2G000741,0.1692139156808613,0.42926679813684515,0.9984265756175531,0.10372641760592782,0.6295707861238411,0.9987071952047535
GRMZM2G178852,0.23519497399392816,0.26859002578693464,0.9984265756175531,0.461118689536979,0.023333531448991154,0.9987071952047535
GRMZM5G855347,-0.10419578589812982,0.6280128919193873,0.9984265756175531,-0.11142446168324166,0.6042177772672085,0.9987071952047535
AC226243.1_FG003,0.059584783184756705,0.7821124033540381,0.9984265756175531,-0.10921019109831646,0.611466637462153,0.9987071952047535
